Description,Calories,Protein,Fat,Carbs
POULTRY SALAD SNDWCH SPRD,200.0,11.64,13.52,7.41
SALAMI  CKD  BF,261.0,12.6,22.2,1.9
"SALAMI,CKD,BF&PORK",336.0,21.85,25.9,2.4
"SALAMI,COOKED,TURKEY",172.0,19.3,9.21,1.55
"SALAMI,DRY OR HARD,PORK",407.0,22.58,33.72,1.6
"SALAMI,DRY OR HARD,PORK,BF",385.0,23.2,30.05,3.8
"SANDWICH SPREAD,PORK,BEEF",235.0,7.66,17.34,11.94
"SMOKED LINK SAUSAGE,PORK",307.0,11.98,28.23,0.18
"SAUSAGE,SMOKED LINK SAUSAGE,PORK & BF",320.0,12.0,28.73,2.42
"SMOKED LINK SAUSAGE,PORK&BF,FLR&NONFAT DRY MILK",268.0,13.97,21.43,3.96
"SMOKED LINK SAUSAGE,PORK&BF,NONFAT DRY MILK",313.0,13.28,27.61,1.92
"THURINGER,CERVELAT,SMMR SAUSAGE,BF,PORK",362.0,17.45,30.43,3.33
TURKEY BREAST MEAT,104.0,17.07,1.66,4.21
"TURKEY HAM,CURED TURKEY THIGH MEAT",126.0,17.5,4.84,2.04
"TURKEY BREAST,SLICED,PREPACKAGED",99.0,16.3,2.15,2.5
"TURKEY ROLL,LT&DK MEAT",149.0,18.14,6.99,2.12
"SAUSAGE,VIENNA,CND,CHICK,BF,PORK",230.0,10.5,19.4,2.6
"HONEY ROLL SAUSAGE,BEEF",182.0,18.58,10.5,2.18
"SAUSAGE,ITALIAN,PORK,CKD",344.0,19.12,27.31,4.27
"LUNCHEON SAUSAGE,PORK&BF",260.0,15.38,20.9,1.58
"NEW ENGLAND BRAND SAUSAGE,PORK,BF",161.0,17.27,7.58,4.83
"OSCAR MAYER,BOLOGNA (CHICK,PORK,BF)",318.0,10.9,29.4,2.4
"OSCAR MAYER,BOLOGNA (BEEF)",316.0,11.05,29.1,2.45
"OSCAR MAYER,BOLOGNA (BEEF LIGHT)",200.0,11.75,14.5,5.6
"OSCAR MAYER,BOLOGNA (FAT FREE)",79.0,12.6,0.6,6.0
OSCAR MAYER  BOLOGNA LIGHT (PORK  CHICK  BEEF),202.0,11.5,14.75,5.7
OSCAR MAYER. BOLOGNA (WISCONSIN MADE RING),313.0,11.8,28.4,2.6
"OSCAR MAYER,BRAUNSCHWEIGER LIVER SAUSAGE (SLICED)",331.0,14.25,29.35,2.6
"OSCAR MAYER,BRAUNSCHWEIGER LIVER SAUSAGE (SAREN TUBE)",341.0,14.2,30.6,2.3
OSCAR MAYER  CHICKEN BREAST (HONEY GLAZED),109.0,19.85,1.5,3.95
"OSCAR MAYER,CHICK BREAST (OVEN RSTD,FAT FREE)",85.0,18.3,0.6,1.7
OSCAR MAYER  HAM & CHEESE LOAF,234.0,13.85,18.2,3.75
"OSCAR MAYER,HAM (CHOPPED W/ NAT JUICE)",180.0,16.3,11.15,3.65
OSCAR MAYER  HAM (WATER ADDED  BKD CKD 96% FAT FREE),104.0,16.3,3.52,1.83
"OSCAR MAYER,HAM (H2O ,BLD)",104.0,16.6,3.7,1.2
"OSCAR MAYER,HAM (H2O ,HONEY)",111.0,16.7,3.5,3.1
"OSCAR MAYER,HAM (H2O ,SMOKED,CKD)",99.0,16.6,3.6,0.1
"OSCAR MAYER,HAM (40%HAM/WATER PRODUCT,SMOKED,FAT FREE)",72.0,14.6,0.7,1.9
"OSCAR MAYER,HEAD CHEESE",185.0,15.7,13.5,0.0
"OSCAR MAYER,LIVER CHS,PORK FAT WRAPPED",313.0,15.2,26.4,2.6
"OSCAR MAYER,LUNCHEON LOAF (SPICED)",234.0,13.5,16.9,7.0
"OSCAR MAYER,OLD FASHIONED LOAF",231.0,13.1,16.3,8.0
"OSCAR MAYER,OLIVE LOAF (CHICK,PORK,TURKEY)",263.0,9.9,21.8,6.9
"OSCAR MAYER,PICKLE PIMIENTO LOAF (W/CHICK)",269.0,9.6,21.6,9.1
"OSCAR MAYER,PORK SAUSAGE LINKS (CKD)",343.0,16.3,30.5,1.0
"OSCAR MAYER,SALAMI BF COTTO",206.0,14.2,15.7,1.9
"OSCAR MAYER,SALAMI COTTO (BF,PORK,CHICK)",245.0,13.4,20.3,2.2
"OSCAR MAYER,SALAMI (FOR BEER)",225.0,13.5,18.2,1.9
"OSCAR MAYER,SALAMI (GENOA)",388.0,20.7,33.3,1.2
"OSCAR MAYER,SALAMI (HARD)",368.0,25.9,28.7,1.6
"OSCAR MAYER,SNDWCH SPRD (PORK,CHICK,BF)",237.0,6.5,16.6,15.4
"OSCAR MAYER,SMOKIE LINKS SAUSAGE",302.0,12.4,27.3,1.7
OSCAR MAYER  SMOKIES (BEEF),296.0,12.25,26.65,1.95
"OSCAR MAYER,SMOKIES (CHS)",303.0,12.9,27.1,1.8
"OSCAR MAYER,SMOKIES SAUSAGE LITTLE (PORK,TURKEY)",301.0,12.4,27.1,1.8
"OSCAR MAYER,SMOKIES SAUSAGE LITTLE CHS (PORK,TURKEY)",315.0,13.5,28.2,1.7
"OSCAR MAYER,SMMR SAUSAGE BF THURINGER CERVELAT",309.0,14.6,27.0,1.9
"OSCAR MAYER,SMMR SAUSAGE THURINGER CERVALAT",304.0,14.9,26.7,0.9
"OSCAR MAYER,TURKEY BREAST (SMOKED,FAT FREE)",80.0,14.9,0.6,3.6
"OSCAR MAYER,WIENERS (PORK,TURKEY)",327.0,10.95,29.9,2.7
"OSCAR MAYER,WIENERS (BEEF FRANKS)",327.0,11.35,30.26,2.35
OSCAR MAYER  WIENERS (BEEF FRANKS  BUN LENGTH),324.0,11.1,30.1,2.65
"OSCAR MAYER,WIENERS (BEEF FRANKS,FAT FREE)",78.0,13.2,0.5,5.1
"OSCAR MAYER,WIENERS (BEEF FRANKS,LIGHT)",193.0,10.7,14.9,4.1
"OSCAR MAYER,WIENERS (CHEESE HOT DOGS W/ TURKEY)",318.0,12.0,28.7,2.8
"OSCAR MAYER,WIENERS (FAT FREE HOT DOGS)",73.0,12.6,0.6,4.3
"OSCAR MAYER,WIENERS (LIGHT PORK,TURKEY,BEEF)",194.0,12.1,14.9,2.8
"OSCAR MAYER,WIENERS LITTLE (PORK,TURKEY)",311.0,10.9,28.7,2.3
"LOUIS RICH,CHICK BREAST CLASSIC BKD /GRILL (CARVING BOARD)",98.0,19.7,0.5,3.7
"LOUIS RICH,CHICK BREAST (OVEN RSTD DELUXE)",101.0,18.3,2.0,2.5
"LOUIS RICH,CHICK (WHITE,OVEN RSTD)",128.0,17.0,5.6,2.3
"LOUIS RICH,FRANKS (TURKEY & CHICK CHEESE)",201.0,12.7,14.5,5.1
"LOUIS RICH,FRANKS (TURKEY & CHICKEN)",188.0,11.2,13.5,5.3
LOUIS RICH  TURKEY BACON,250.0,15.1,20.3,1.7
"LOUIS RICH,TURKEY BOLOGNA",184.0,11.3,13.2,4.85
"LOUIS RICH,TURKEY BREAST & WHITE TURKEY (OVEN ROASTED)",99.0,17.1,2.0,3.25
"LOUIS RICH,TURKEY BREAST&WHITE TURKEY (SMOKED SLICED)",100.0,17.6,2.3,2.4
"LOUIS RICH,TURKEY (HONEY RSTD,FAT FREE)",102.0,19.3,0.8,4.5
"LOUIS RICH,TURKEY BREAST (OVEN RSTD,FAT FREE)",84.0,15.0,0.7,4.5
"LOUIS RICH,TURKEY BREAST (OVEN RSTD,PORTION FAT FREE)",90.0,19.1,0.7,1.9
"LOUIS RICH,TURKEY BREAST (SMOKED,CARVING BOARD)",94.0,19.7,1.0,1.6
"LOUIS RICH,TURKEY BREAST (SMOKED,PORTION FAT FREE)",93.0,19.3,0.8,2.2
"LOUIS RICH,TURKEY HAM (10% H2O)",113.0,18.2,4.1,0.9
"LOUIS RICH,TURKEY NUGGETS/STICKS (BREADED)",276.0,14.3,17.5,15.4
"LOUIS RICH,TURKEY SALAMI",147.0,15.3,9.4,0.4
"LOUIS RICH,TURKEY SALAMI COTTO",149.0,15.0,9.5,0.9
"LOUIS RICH,TURKEY SMOKED SAUSAGE",161.0,14.8,9.9,3.15
"BUTCHER BOY MEATS,INC.,TURKEY FRANKS",239.0,13.45,18.17,4.66
"CARL BUDDIG,CKD CORNED BF,CHOPD,PRESSED",142.0,19.3,6.8,1.0
"CARL BUDDIG,SMOKED SLICED CHICK,LT&DK MEAT",165.0,17.9,10.1,0.7
"CARL BUDDIG,SMOKED SLICED BF",139.0,19.3,6.5,0.6
"CARL BUDDIG,SMOKED SLICED TURKEY,LT&DK MEAT",160.0,17.5,9.1,1.8
"CARL BUDDIG. CKD SMOKED BF PASTRAMI,CHOPD,PRESSED",141.0,19.6,6.5,1.0
"CARL BUDDIG,SMOKED SLICED HAM",163.0,18.5,9.3,1.1
HORMEL SPAM  LUNCHEON MEAT  PORK W/ HAM  MINCED  CND,310.0,13.24,27.24,3.03
"HORMEL SPAM,LT LUNCH MT,PORK & CHICK,MINCED,CND,VIT C ADDED",191.0,15.23,13.9,1.35
HORMEL PILLOW PAK SLICED TURKEY PEPPERONI,243.0,30.99,11.52,3.78
HORMEL WRANGLER BEEF FRANKS,290.0,12.58,25.69,2.11
"TURKEY,PORK,&BF SAUSAGE,LOFAT,SMOKED",101.0,8.0,2.5,11.54
"USDA COMMODITY,PORK,SAUSAGE,BULK/LINKS/PATTIES,FRZ,CKD",267.0,19.76,20.26,0.0
"FRANKFURTER,BF,PORK,& TURKEY,FAT FREE",109.0,12.5,1.59,11.21
"LUNCHEON MEAT,PORK,HAM,&CHICK,MINCD,CND,RED NA,VIT C, (SPAM)",293.0,12.5,25.1,3.4
"USDA COMMODITY,PORK SAUSAGE,BULK/LINKS/PATTIES,FRZ,RAW",231.0,14.95,18.56,0.0
"LUNCHEON MEAT,PORK W/HAM,MINCED,CND,INCL SPAM (HORMEL)",315.0,13.4,26.6,4.6
"LUNCHEON MEAT,PORK&CHICK,MINCED,CND,INCL SPAM LITE",196.0,15.23,13.9,1.35
BRATWURST  VEAL  CKD,341.0,13.99,31.7,0.0
LIVERWURST SPRD,305.0,12.38,25.45,5.89
ROAST BF SPRD,223.0,15.27,16.28,3.73
SALAMI  PORK  BF  LESS NA,396.0,15.01,30.5,15.38
SAUSAGE  ITALIAN  SWT  LINKS,149.0,16.13,8.42,2.1
SAUSAGE  POLISH  BF W/ CHICK  HOT,259.0,17.6,19.4,3.6
SAUSAGE  POLISH  PORK & BF  SMOKED,301.0,12.07,26.56,1.98
SAUSAGE  PORK & BF  W/ CHEDDAR CHS  SMOKED,296.0,12.89,25.84,2.13
SAUSAGE  SMMR  PORK & BF  STKS  W/ CHEDDAR CHS,426.0,19.43,37.91,1.82
SAUSAGE  TURKEY  BRKFST LINKS  MILD,235.0,15.42,18.09,1.56
SWISSWURST  PORK & BF  W/ SWISS CHS  SMOKED,307.0,12.69,27.37,1.6
BACON & BF STKS,517.0,29.1,44.2,0.8
BRATWURST  BF & PORK  SMOKED,297.0,12.2,26.34,2.0
"BRATWURST,CHICK,CKD",176.0,19.44,10.35,0.0
BRATWURST  PORK  BF & TURKEY  LITE  SMOKED,186.0,14.45,13.53,1.62
PASTRAMI  BF  98% FAT-FREE,95.0,19.6,1.16,1.54
SALAMI  ITALIAN  PORK,425.0,21.7,37.0,1.2
SAUSAGE  ITALIAN  TURKEY  SMOKED,158.0,15.05,8.75,4.65
SAUSAGE  CHICK  BF  PORK  SKINLESS  SMOKED,216.0,13.6,14.3,8.1
SAUSAGE  TURKEY  HOT  SMOKED,158.0,15.05,8.75,4.65
"YACHTWURST,W/ PISTACHIO NUTS,CKD",268.0,14.8,22.6,1.4
BEERWURST  PORK & BF,276.0,14.0,22.53,4.27
CHICKEN BREAST  FAT-FREE  MESQ FLAVOR  SLICED,80.0,16.8,0.39,2.25
CHICKEN BREAST  OVEN-ROASTED  FAT-FREE  SLICED,79.0,16.79,0.39,2.17
"KIELBASA,POLISH,TURKEY & BF,SMOKED",226.0,13.1,17.6,3.9
OVEN-ROASTED CHICK BREAST ROLL,134.0,14.59,7.65,1.79
BOLOGNA  PORK & TURKEY  LITE,211.0,13.06,16.06,3.45
BOLOGNA  PORK  TURKEY & BF,336.0,11.56,29.25,6.66
HAM  HONEY  SMOKED  CKD,122.0,17.93,2.37,7.27
"FRANKFURTER,PORK",269.0,12.81,23.68,0.28
MACARONI & CHS LOAF  CHICK  PORK & BF,228.0,11.76,14.96,11.63
SALAMI  ITALIAN  PORK & BF  DRY  SLICED  50% LESS NA,350.0,21.8,26.4,6.4
PATE  TRUFFLE FLAVOR,327.0,11.2,28.5,6.3
"TURKEY,BREAST,SMOKED,LEMON PEPPER FLAVOR,97% FAT-FREE",95.0,20.9,0.69,1.31
TURKEY  WHITE  ROTISSERIE  DELI CUT,112.0,13.5,3.0,7.7
FRANKFURTER  BF  HTD,322.0,11.69,29.36,2.66
FRANKFURTER  MEAT  HTD,278.0,9.77,24.31,4.9
FRANKFURTER  MEAT,290.0,10.26,25.76,4.17
"SCRAPPLE,PORK",213.0,8.06,13.87,14.06
"BOLOGNA,CHICK,TURKEY,PORK",298.0,9.88,26.18,5.65
"PORK SAUSAGE,PRE-COOKED",378.0,14.49,35.04,0.0
"BEEF SAUSAGE,PRE-COOKED",405.0,15.5,37.57,0.03
"TURKEY SAUSAGE,FRSH,RAW",155.0,18.79,8.08,0.47
"BEEF SAUSAGE,FRSH,CKD",332.0,18.21,27.98,0.35
"PORK & TURKEY SAUSAGE,PRE-COOKED",342.0,12.05,30.64,3.63
"TURKEY SAUSAGE,FRSH,CKD",196.0,23.89,10.44,0.0
"BOLOGNA,CHICK,PORK,BF",272.0,11.33,22.73,5.61
"BOLOGNA,CHICK,PORK",336.0,10.31,30.61,4.19
"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN ORIGINAL",260.0,13.14,4.9,74.24
"CEREALS RTE,POST,ALPHA-BITS",385.0,8.1,3.8,83.7
"CEREALS RTE,KELLOGG,KELLOGG'S APPL JACKS",366.0,5.0,1.9,88.2
"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN BRAN BUDS",250.0,7.0,2.15,80.0
"CEREALS RTE,QUAKER,CAP'N CRUNCH",398.0,4.39,5.12,85.51
"CEREALS RTE,QUAKER,CAP'N CRUNCH W/ CRUNCHBERRIES",397.0,4.45,4.83,85.9
"CEREALS RTE,QUAKER,CAP'N CRUNCH'S PNUT BUTTER CRUNCH",417.0,7.1,9.23,78.65
"CEREALS RTE,GENERAL MILLS,CHEERIOS",367.0,11.33,5.9,74.68
"CEREALS RTE,KELLOGG,KELLOGG'S COCOA KRISPIES",389.0,5.22,2.9,86.05
"CEREALS RTE,POST,COCOA PEBBLES",397.0,4.7,4.2,85.8
"CEREALS RTE,GENERAL MILLS,COOKIE CRISP",385.0,3.85,3.85,84.62
"CEREALS RTE,QUAKER,QUAKER CRUNCHY BRAN",331.0,6.37,4.06,83.68
"CEREALS RTE,GENERAL MILLS CORN CHEX",387.0,6.45,1.61,83.87
"CEREALS RTE,KELLOGG,KELLOGG'S CORN FLAKES",365.0,6.61,0.59,87.11
"CEREALS RTE,CORN FLAKES,LO NA",399.0,7.7,0.3,88.8
"CEREALS RTE,KELLOGG,KELLOGG'S CRACKLIN' OAT BRAN",402.0,8.0,13.9,71.8
"CEREALS RTE,RALSTON CRISPY RICE",364.0,6.69,1.26,86.22
"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN COMPLETE WHEAT FLAKES",318.0,10.0,2.0,79.0
"CEREALS RTE,BRAN FLAKES,SINGLE BRAND",320.0,9.4,2.2,80.4
"CEREALS RTE,KELLOGG,KELLOGG'S FROOT LOOPS",372.0,5.0,3.3,86.7
"CEREALS RTE,KELLOGG'S FRSTD MINI-WHEATS,BIG BITE",343.0,9.0,1.6,82.0
"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD RICE KRISPIES",382.0,4.3,0.4,90.9
"CEREALS RTE,POST,FRUITY PEBBLES",400.0,4.3,4.0,86.2
"CEREALS RTE,GENERAL MILLS,GOLDEN GRAHAMS",387.0,6.45,3.23,83.87
"CEREALS RTE,GRANOLA,HOMEMADE",489.0,14.85,24.06,53.25
"CEREALS RTE,POST,GRAPE-NUTS CRL",359.0,12.48,1.85,80.1
"CEREALS RTE,POST,GRAPE-NUTS FLAKES",369.0,9.5,3.7,81.9
"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEERIOS",393.0,7.14,5.36,78.57
"CEREALS RTE,POST,HONEYCOMB CRL",396.0,6.2,3.0,87.4
"CEREALS RTE,QUAKER,KING VITAMAN",381.0,6.41,3.44,83.85
"CEREALS RTE,GENERAL MILLS,KIX",367.0,7.69,3.46,82.82
"CEREALS RTE,QUAKER,QUAKER OAT LIFE,PLN",374.0,9.97,4.42,77.69
"CEREALS RTE,GENERAL MILLS,LUCKY CHARMS",407.0,7.41,3.7,81.48
"CEREALS RTE,POST,100% BRAN CRL",287.0,12.7,2.1,78.2
"CEREALS RTE,QUAKER,100% NAT GRANOLA,OATS,WHEAT & HONEY",421.0,10.55,11.62,73.65
"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEX",375.0,6.25,3.13,87.5
"CEREALS RTE,KELLOGG,KELLOGG'S PRODUCT 19",333.0,7.7,1.4,83.0
"CEREALS RTE,QUAKER,SWT CRUNCH/QUISP",406.0,4.51,6.08,85.03
"CEREALS RTE,KELLOGG,KELLOGG'S RAISIN BRAN",314.0,8.59,2.19,77.36
"CEREALS RTE,POST RAISIN BRAN CRL",320.0,8.0,1.7,78.1
"CEREALS RTE,GENERAL MILLS,RICE CHEX",370.0,7.41,1.0,85.19
"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES",381.0,6.84,0.96,85.24
"CEREALS RTE,QUAKER,QUAKER PUFFED RICE",383.0,7.01,0.9,87.78
"CEREALS RTE,KELLOGG,KELLOGG'S SPL K",365.0,18.3,1.6,74.1
"CEREALS RTE,KELLOGG,KELLOGG'S CORN POPS",389.0,4.6,1.3,90.4
"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD FLAKES",367.0,4.34,0.26,90.86
"CEREALS RTE,KELLOGG,KELLOGG'S HONEY SMACKS",386.0,6.4,1.8,89.0
"CEREALS RTE,POST,GOLDEN CRISP",390.0,5.8,1.3,90.7
"CEREALS RTE,RALSTON TASTEEOS",398.0,11.83,5.97,74.22
"CEREALS RTE,POST TOASTIES CORN FLAKES",360.0,6.7,0.1,86.7
"CEREALS RTE,GENERAL MILLS,WHL GRAIN TOTAL",333.0,6.67,1.67,76.67
"CEREALS RTE,GENERAL MILLS,TRIX",375.0,3.13,4.69,84.38
"CEREALS RTE,WAFFELOS",405.0,5.6,4.2,86.3
"CEREALS RTE,POST,HONEY NUT SHREDDED WHEAT",374.0,8.4,2.9,83.6
"CEREALS RTE,GENERAL MILLS,WHEAT CHEX",340.0,10.64,2.13,82.98
"CEREALS RTE,MALT-O-MEAL,CORN BURSTS",394.0,4.0,0.34,93.7
"CEREALS RTE,WHEAT GERM,TSTD,PLN",382.0,29.1,10.7,49.6
"CEREALS RTE,QUAKER,KRETSCHMER HONEY CRUNCH WHEAT GERM",372.0,26.55,7.78,58.11
"CEREALS RTE,GENERAL MILLS,FRENCH TOAST CRUNCH",438.0,6.25,10.94,77.55
"CEREALS RTE,GENERAL MILLS,MULTI-GRAIN CHEERIOS",379.0,6.9,3.45,79.31
"CEREALS RTE,GENERAL MILLS,WHEATIES",370.0,9.4,1.8,82.6
"CEREALS,CORN GRITS,WHITE,REG & QUICK,ENR,DRY",370.0,7.65,1.75,79.09
"CEREALS,CORN GRITS,WHITE,REG & QUICK,ENR,CKD W/ H2O,WO/ SALT",71.0,1.71,0.46,14.76
"CEREALS,QUAKER,CORN GRITS,INST,PLN,DRY",359.0,7.31,2.14,76.02
"CEREALS,QUAKER,CORN GRITS,INST,PLN,PREP,WO/ SALT",76.0,1.58,0.49,15.95
"CEREALS,QUAKER,CORN GRITS,INST,CHEDDAR CHS FLAVOR,DRY",366.0,8.37,5.97,73.08
"CEREALS,QUAKER,CORN GRITS,INST,W/IMITN BACON BITS,DRY",349.0,9.85,1.65,77.35
"CEREALS,CRM OF RICE,DRY",370.0,6.3,0.5,82.4
"CEREALS,CRM OF RICE,CKD W/H2O,WO/SALT",52.0,0.9,0.1,11.4
"CEREALS,CRM OF WHEAT,REG,10 MINUTE COOKING,DRY",370.0,10.5,1.5,76.5
"CEREALS,CRM OF WHEAT,REG (10 MINUTE),CKD W/ H2O,WO/ SALT",50.0,1.44,0.21,10.52
"CEREALS,FARINA,ENR,ASSORTED BRANDS,DRY",360.0,11.6,1.41,73.19
"CEREALS,FARINA,ENR,ASSORTED BRANDS,QUICK,CKD W/ H2O,WO/ SALT",55.0,1.82,0.34,10.92
"CEREALS,CREAM OF WHEAT,INST,DRY",366.0,10.6,1.4,75.5
"CEREALS,CREAM OF WHEAT,INST,PREP W/ H2O,WO/ SALT",62.0,1.84,0.24,13.08
"CEREALS,CREAM OF WHEAT,MIX'N EAT,PLN,DRY",361.0,9.7,1.2,75.6
"CEREALS,CREAM OF WHEAT,MIX'N EAT,PLN,PREP W/ H2O",72.0,1.9,0.2,15.1
"CEREALS,CRM OF WHEAT,MIX'N EAT,APPL,BANANA&MAPLE FLAV,DRY",373.0,6.9,1.1,81.6
"CEREALS,CRM OF WHEAT,MIX'N EAT,APPL,BANANA&MAPLE FLAV,PREP",88.0,1.6,0.3,19.3
"CEREALS,FARINA,ENR,CKD W/ H2O,WO/ SALT",53.0,1.82,0.34,10.92
"CEREALS,MALTEX,DRY",352.0,11.2,2.1,77.3
"CEREALS,MALTEX,CKD W/ H2O,WO/ SALT",76.0,2.29,0.43,15.81
"CEREALS,MALT-O-MEAL,PLN,DRY",361.0,11.8,1.27,75.6
"CEREALS,MAYPO,DRY",385.0,13.2,5.3,72.0
"CEREALS,MAYPO,CKD W/ H2O,WO/ SALT",71.0,2.4,1.0,13.3
"CEREALS,OATS,REG & QUICK,NOT FORT,DRY",379.0,13.15,6.52,67.7
"CEREALS,OATS,REG & QUICK,UNENR,CKD W/ H2O,WO/ SALT",71.0,2.54,1.52,12.0
"CEREALS,OATS,INST,FORT,PLN,DRY",375.0,12.72,6.25,67.55
"CEREALS,OATS,INST,FORT,PLN,PREP W/ H2O",68.0,2.37,1.36,11.67
"CEREALS,QUAKER,INST OATMEAL,APPLS & CINN,DRY",365.0,8.93,4.78,75.96
"CEREALS,OATS,INST,FORT,W/ CINN & SPICE,DRY",370.0,8.59,4.67,76.97
"CEREALS,OATS,INST,FORT,W/ CINN & SPICE,PREP W/ H2O",107.0,2.4,1.31,21.52
"CEREALS,QUAKER,INST OATMEAL,MAPLE & BROWN SUGAR,DRY",365.0,9.92,5.36,73.28
"CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,DRY",360.0,7.76,4.27,76.31
"CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,PREP W/ H2O",100.0,2.07,1.14,20.32
"CEREALS,RALSTON,DRY",341.0,14.1,2.1,72.1
"CEREALS,RALSTON,CKD W/ H2O,WO/ SALT",53.0,2.2,0.3,11.2
"CEREALS,ROMAN MEAL,PLN,DRY",322.0,14.4,2.2,72.0
"CEREALS,ROMAN MEAL,PLN,CKD W/ H2O,WO/ SALT",61.0,2.7,0.4,13.7
"CEREALS RTE,MALT-O-MEAL,MARSHMLLW MATEYS",394.0,7.2,3.6,83.3
"CEREALS RTE,POST,OREO O'S CRL",415.0,4.8,8.8,81.9
"CEREALS,WHEATENA,DRY",357.0,13.1,2.9,75.6
"CEREALS,WHEATENA,CKD W/ H2O",56.0,2.0,0.5,11.8
"CEREALS,WHL WHEAT HOT NAT CRL,DRY",342.0,11.2,2.0,75.2
"CEREALS,WHL WHEAT HOT NAT CRL,CKD W/ H2O,WO/ SALT",62.0,2.0,0.4,13.7
"CEREALS RTE,QUAKER,QUAKER PUFFED WHEAT",366.0,16.26,2.15,76.39
"CEREALS RTE,WHEAT,SHREDDED,PLN,SUGAR & SALT FREE",337.0,11.37,2.21,78.76
"CEREALS RTE,POST,SHREDDED WHEAT,SPOON-SIZE",351.0,11.8,2.1,81.4
"CEREALS,ROMAN MEAL WITH OATS,CKD W/ H2O,WO/ SALT",71.0,3.0,0.8,14.2
"CEREALS RTE,RICE,PUFFED,FORT",402.0,6.3,0.5,89.8
"CEREALS RTE,WHEAT,PUFFED,FORT",364.0,14.7,1.2,79.6
"CEREALS,CORN GRITS,WHITE,REG & QUICK,UNENR,DRY",371.0,8.8,1.2,79.6
"CEREALS,CORN GRITS,YEL,REG & QUICK,ENR,DRY",368.0,6.72,1.49,79.91
"CEREALS,CORN GRITS,YEL,REG & QUICK,UNENR,DRY",371.0,8.8,1.2,79.6
"CEREALS,CORN GRITS,WHITE,REG & QUICK,ENR,CKD W/ H2O,W/ SALT",71.0,1.71,0.46,14.76
"CEREALS,CORN GRITS,WHITE,REG & QCK,UNENR,CKD W/ H2O,WO/ SALT",59.0,1.42,0.19,12.87
"CEREALS,CORN GRITS,WHITE,REG,QUICK,UNENR,CKD W/ H2O,W/ SALT",60.0,1.4,0.2,13.0
"CEREALS,CORN GRITS,YEL,REG & QUICK,ENR,CKD W/ H2O,WO/ SALT",65.0,1.23,0.39,13.86
"CEREALS,CORN GRITS,YEL,REG,QUICK,ENR,CKD W/ H2O,W/ SALT",65.0,1.23,0.39,13.86
"CEREALS,CORN GRITS,YEL,REG & QUICK,UNENR,CKD W/ H2O,WO/ SALT",59.0,1.42,0.19,12.87
"CEREALS,CORN GRITS,YEL,REG,QUICK,UNENR,CKD W/ H2O,W/ SALT",59.0,1.42,0.19,12.87
"CEREALS,CREAM OF RICE,CKD W/ H2O,W/ SALT",52.0,0.9,0.1,11.5
"CEREALS,CRM OF WHEAT,REG (10 MINUTE),CKD W/ H2O,W/ SALT",50.0,1.46,0.21,10.66
"CEREALS,CRM OF WHEAT,INST,PREP W/ H2O,W/ SALT,(WHEAT)",62.0,1.84,0.24,13.08
"CEREALS,FARINA,UNENR,DRY",369.0,10.6,0.5,78.0
"CEREALS,FARINA,ENR,CKD W/ H2O,W/ SALT",53.0,1.82,0.34,10.92
"CEREALS,MALTEX,CKD W/ H2O,W/ SALT",76.0,2.29,0.43,15.81
"CEREALS,MALT-O-MEAL,CHOC,DRY",374.0,10.6,1.31,79.9
"CEREALS,MAYPO,CKD W/ H2O,W/ SALT",71.0,2.43,0.97,13.23
"CEREALS,OATS,REG & QUICK & INST,UNENR,CKD W/ H2O,W/ SALT",71.0,2.54,1.52,12.0
"CEREALS,ROMAN MEAL,PLN,CKD W/ H2O,W/ SALT",61.0,2.7,0.4,13.7
"CEREALS,WHEATENA,CKD W/ H2O,W/ SALT",59.0,2.03,0.45,11.74
"CEREALS,WHL WHEAT HOT NAT CRL,CKD W/ H2O,W/ SALT",62.0,2.0,0.4,13.7
"CEREALS,ROMAN MEAL WITH OATS,CKD W/ H2O,W/ SALT",71.0,3.0,0.8,14.2
"CEREALS,RALSTON,CKD W/ H2O,W/ SALT",53.0,2.2,0.3,11.2
"CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA WO/ RAISINS",387.0,8.0,5.2,81.5
"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP,APPL CINN",382.0,7.27,3.64,84.0
"CEREALS RTE,POST,SHREDDED WHEAT,LIGHTLY FRSTD,SPOON-SIZE",352.0,7.8,1.9,83.8
"CEREALS RTE,POST BLUEBERRY MORNING",396.0,6.4,5.3,81.6
"CEREALS RTE,GENERAL MILLS,REESE'S PUFFS",433.0,6.9,10.34,75.86
"CEREALS,QUAKER,QUAKER MULTIGRAIN OATMEAL,DRY",333.0,11.3,2.58,73.44
"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP,CRUNCHY ALMOND",393.0,9.8,6.7,78.9
